,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
839,"Pastrami, 98% fat-free, beef",100,95,1.2,,47,0,0,1.76,0.18,34.6,0,0,0,1.54,0,0,1.16
840,"Fish, dry heat, cooked, scup",100,135,3.5,,67,104,31,1.62,0.346,0,0,0,0,0,0,0,3.5
841,"Fish, dry heat, cooked, spot",100,158,6.3,1.9,77,115,35,3.46,0.462,0,0,0,0,0,0,0,6.28
842,"Rice, raw, long-grain, brown",100,367,3.2,0.6,0,0,0,0,0.477,0,0.6,0.6,0.6,76.25,3.6,0.66,3.2
843,"Babyfood, junior, lamb, meat",100,112,5.2,2.6,38,27,8,2.27,0.183,1.7,0.4,0.4,0,0,0,0,5.2
844,"Oil, and olive, peanut, corn",100,884,100,14,0,0,0,0,0,0,14.78,14.78,21,0,0,0,100
845,"Soy flour, roasted, full-fat",100,439,22,3.2,0,122,6,0,0.351,0,1.98,1.98,71,30.38,9.7,7.61,21.86
846,"Fish, dry heat, cooked, carp",100,162,7.2,1.4,84,32,10,1.47,0.219,1.6,0,0,0,0,0,0,7.17
847,"Fish, raw, european, anchovy",100,131,4.8,1.3,60,50,15,0.62,0.143,0,0.57,0.57,0.1,0,0,0,4.84
848,"Game meat, raw, wild, rabbit",100,114,2.3,0.7,81,0,0,0,0,0,0,0,0,0,0,0,2.32
849,"PACE, Dry Taco Seasoning Mix",100,188,0,,0,9381,0,0,0,45,0,0,0,56.29,18.8,18.76,0
850,"Alfalfa seeds, raw, sprouted",100,23,0.7,0.1,0,155,8,0,0.034,8.2,0.02,0.02,30.5,2.1,1.9,0.2,0.69
851,"Squash, raw (Navajo), Indian",100,26,0.2,,0,0,0,0,0.058,4.5,0,0,0,5.64,0,3.54,0.2
852,"Fish, raw, Atlantic, croaker",100,104,3.2,1.1,61,41,12,2.5,0.3,0,1.29,1.29,0.1,0,0,0,3.17
853,"SMART SOUP, Greek Minestrone",100,40,0.5,,0,0,0,0,0,0,0,0,0,8.4,2.7,2.7,0.53
854,"Cream, lowfat, half and half",100,72,5,3.3,17,170,47,0.19,0.05,0,0.12,0.12,0.6,3.33,0,3.33,5
855,"Babyfood, mixed fruit, juice",100,47,0.1,,0,42,2,0,0.043,63.6,0.04,0.04,0.9,11.7,0.1,8.46,0.1
856,"Milk shakes, thick chocolate",100,119,2.7,1.7,11,67,18,0.32,0.025,0,0.05,0.05,0.2,21.15,0.3,20.85,2.7
857,"Grapefruit juice, raw, white",100,39,0.1,,0,10,1,0,0.044,38,0.22,0.22,0,9.2,0.1,9.1,0.1
858,"Babyfood, arrowroot, cookies",100,424,10,1,0,0,0,0.07,0.04,5.5,3.86,3.86,0.5,75.4,0.2,0,10
859,"Fish, raw, Atlantic, pollock",100,92,1,0.1,71,46,14,3.19,0.287,0,0.23,0.23,0.1,0,0,0,0.98
860,"Egg, raw, fresh, whole, duck",100,185,14,3.7,884,674,194,5.4,0.25,0,1.34,1.34,0.4,1.45,0,0.93,13.77
861,"McDONALD'S, Sausage McMUFFIN",100,333,21,7.3,39,260,0,0.45,0.153,0,0.28,0.28,0,24.52,1.4,1.93,21.06
862,HEALTHY REQUEST Tomato juice,100,21,0,,0,2058,0,0,0,29.6,5.56,5.56,0,4.53,0.8,3.7,0
863,"Crackers, whole-wheat, matzo",100,351,1.5,0.2,0,0,0,0,0.159,0,0,0,0,78.9,11.8,0,1.5
864,"Soup, dry, cubed, beef broth",100,170,4,2,4,1,0,1,0.2,0,0,0,0,16.1,0,14.51,4
865,"Puddings, ready-to-eat, rice",100,108,2.2,1.2,12,69,19,0.15,0.052,1.3,0.07,0.07,0.2,18.39,0.3,11.59,2.15
866,"Pectin, dry mix, unsweetened",100,325,0.3,0.1,0,3,0,0,0.01,0,0,0,0,90.4,8.6,0,0.3
867,"Candies, CARAMELLO Candy Bar",100,462,21,13,27,303,0,0,0,1.7,0,0,0,63.81,1.2,56.92,21.19
868,"Veal, raw, external fat only",100,503,52,19,86,0,0,1.35,0.154,0,0.3,0.3,2.8,0.89,0,0,51.6
869,"Seeds, raw, breadfruit seeds",100,191,5.6,1.5,0,256,13,0,0.32,6.6,0,0,0,29.24,5.2,0,5.59
870,"Mushrooms, stir-fried, white",100,26,0.3,,0,0,0,0,0.042,0,0,0,0,4.04,1.8,0,0.33
871,"Snacks, rolls, fruit leather",100,371,3,0.7,0,57,6,0,0.3,120,0.56,0.56,18.2,85.8,0,49.16,3
872,"Sauce, thin, white, homemade",100,105,6.7,2.2,8,262,73,0.3,0.041,0.8,0.17,0.17,0.6,7.4,0.1,4.78,6.73
873,"Sauce, ready-to-serve, salsa",100,29,0.2,,0,461,23,0,0.172,1.9,1.28,1.28,4.3,6.64,1.9,4.01,0.17
874,"Peppers, raw, red, hot chili",100,40,0.4,,0,952,48,0,0.506,143.7,0.69,0.69,14,8.81,1.5,5.3,0.44
875,"Squash, raw, scallop, summer",100,18,0.2,,0,217,11,0,0.109,18,0.13,0.13,3.3,3.84,1.2,2.39,0.2
876,"Currants, raw, red and white",100,56,0.2,,0,42,2,0,0.07,41,0.1,0.1,11,13.8,4.3,7.37,0.2
877,"Crustaceans, raw, blue, crab",100,87,1.1,0.2,78,5,2,9,0.15,3,0,0,0,0.04,0,0,1.08
878,"Pie fillings, cherry, canned",100,115,0.1,,0,205,10,0,0.037,3.6,0,0,0,28,0.6,0,0.07
879,"Yogurt, nonfat, plain, Greek",100,59,0.4,0.1,5,4,1,0.75,0.063,0,0.01,0.01,0,3.6,0,3.24,0.39
880,"Crackers, reduced fat, wheat",100,444,13,2.1,0,0,0,0.14,0.15,0,1.18,1.18,24.7,71.52,3.4,15.01,13.37
881,"Gravy, powder, dry, mushroom",100,328,4,2.4,3,1,0,0.7,0.1,7,0.15,0.15,0.2,64.66,4.8,3.26,4
882,"Gravy, dry, unspecified type",100,344,8,2.9,4,0,0,0.7,0.1,7,0,0,0,58,0,0,8
883,"Seeds, low-fat, sesame flour",100,333,1.8,0.2,0,64,3,0,0.142,0,0,0,0,35.51,0,0,1.75
