Discription,url,Vendor
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta),https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Printed/dp/B0BRKHMK9L/ref=sxin_19_trfob_2_B0BRKHMK9L?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BRKHMK9L&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Shed Floral),https://www.amazon.in/Lymio-Casual-Stylish-Printed-Shed/dp/B0BRKHNDN6/ref=sxin_19_trfob_3_B0BRKHNDN6?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BRKHNDN6&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Karrey),https://www.amazon.in/Lymio-Casual-Stylish-Printed-Karrey/dp/B0BRKJ7MT3/ref=sxin_19_trfob_4_B0BRKJ7MT3?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BRKJ7MT3&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Rose),https://www.amazon.in/Lymio-Casual-Stylish-Printed-Maroon/dp/B0BWS5KLPJ/ref=sxin_19_trfob_5_B0BWS5KLPJ?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BWS5KLPJ&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Geo),https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Printed/dp/B0BWS63ZGC/ref=sxin_19_trfob_6_B0BWS63ZGC?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BWS63ZGC&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Beach Blue,Red,Rama)",https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Printed/dp/B0BRKK866G/ref=sxin_19_trfob_7_B0BRKK866G?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BRKK866G&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=ozxnl&pd_rd_wg=AMbk2&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,Amazon
LookMark Men's Cotton Blend Stitched Solid Half Sleeve Shirt,https://www.amazon.in/LookMark-Cotton-Stitched-Printed-Leaf-XXL/dp/B0BZVJWB98/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_0_B0BZVJWB98?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BZVJWB98&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-1-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
DHRUVI TRENDZ Shirts for Men | Rayon Abstract Printed Shirts | Regular Fit Shirts for Boys | Ideal for Travel | Picnic | Summer Wear Shirt for Men | Beach Shirts for Men,https://www.amazon.in/DHRUVI-TRENDZ-Abstract-Printed-Regular/dp/B0BZVWJ32L/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_1_B0BZVWJ32L?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BZVWJ32L&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-2-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
TOPLOT Men's Causal Shirt with Short Sleeve & Geometric Print (Mens-Geo-Shirt-5096),https://www.amazon.in/TOPLOT-Causal-Sleeve-Geometric-Mens-Geo-Shirt-5096-Navy-XXL/dp/B0BZMK1BBP/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_2_B0BZMK1BBP?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BZMK1BBP&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-3-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
DHRUVI TRENDZ Shirts for Men || Soft Rayon Multi Printed Shirts for Men || Preppy Short Sleeves Shirt || Beach | Outing | Date | Office | Collage Wear Shirt for Boys || Gift for Men,https://www.amazon.in/DHRUVI-TRENDZ-Printed-Sleeves-Collage/dp/B0C18P6TNL/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_3_B0C18P6TNL?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0C18P6TNL&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-4-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
