Discription,url,Vendor
Men Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/voroxy-men-solid-casual-dark-green-shirt/p/itm619a316d45389?pid=SHTGBYE4A2F8SNC7&lid=LSTSHTGBYE4A2F8SNC7BCW8NL&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGBYE4A2F8SNC7.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Striped Spread Collar Casual Shirt,https://www.flipkart.com/combraided-men-striped-casual-white-black-shirt/p/itm2fa03b1d532b7?pid=SHTGGRGHPHKYKZJ6&lid=LSTSHTGGRGHPHKYKZJ6MYBJAT&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGGRGHPHKYKZJ6.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-pink-shirt/p/itm358618810be06?pid=SHTGHHQKFF2ZYSAF&lid=LSTSHTGHHQKFF2ZYSAFRJJ2VI&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGHHQKFF2ZYSAF.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Striped Casual Shirt,https://www.flipkart.com/icome-men-striped-casual-multicolor-shirt/p/itmbca9d412054be?pid=SHTGEZWZDWHHHZCJ&lid=LSTSHTGEZWZDWHHHZCJL6FZOB&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGEZWZDWHHHZCJ.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Printed Spread Collar Casual Shirt,https://www.flipkart.com/vebnor-men-printed-casual-blue-shirt/p/itm8c0286244db2e?pid=SHTGJMJ6NZQMKBJZ&lid=LSTSHTGJMJ6NZQMKBJZYUHCTT&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGJMJ6NZQMKBJZ.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Checkered Casual Shirt,https://www.flipkart.com/metronaut-flipkart-men-checkered-casual-multicolor-shirt/p/itm2a776df662afc?pid=SHTG9AJGNF9YRJ8X&lid=LSTSHTG9AJGNF9YRJ8X6DC0J3&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTG9AJGNF9YRJ8X.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Printed Casual Shirt,https://www.flipkart.com/highlander-men-printed-casual-white-blue-shirt/p/itmcc782a3255836?pid=SHTFSZKF7HH96NJK&lid=LSTSHTFSZKF7HH96NJKIKXSRI&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFSZKF7HH96NJK.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Solid Mandarin Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-light-blue-shirt/p/itm8362750a1e4d6?pid=SHTFXEGAH29BRAS2&lid=LSTSHTFXEGAH29BRAS2Z7GRHM&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFXEGAH29BRAS2.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Color Block Spread Collar Casual Shirt,https://www.flipkart.com/try-men-color-block-casual-white-black-shirt/p/itm60628958d25f3?pid=SHTFNNJGGBMUHWJP&lid=LSTSHTFNNJGGBMUHWJP8RSFY2&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFNNJGGBMUHWJP.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Striped Spread Collar Casual Shirt,https://www.flipkart.com/fubar-men-striped-casual-white-blue-shirt/p/itm0eca443dd6fdb?pid=SHTGHKFEAHERNHUA&lid=LSTSHTGHKFEAHERNHUATAVDDU&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGHKFEAHERNHUA.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Solid Mandarin Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-dark-blue-shirt/p/itm789b4cb012969?pid=SHTFXDN7GNCWFH2N&lid=LSTSHTFXDN7GNCWFH2NHF3X00&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFXDN7GNCWFH2N.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Checkered Slim Collar Casual Shirt,https://www.flipkart.com/dennis-lingo-men-checkered-casual-blue-shirt/p/itmf5jwaaffgqtxf?pid=SHTF5JNXSSZZGYMB&lid=LSTSHTF5JNXSSZZGYMBLY277R&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTF5JNXSSZZGYMB.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Slim Fit Printed Casual Shirt,https://www.flipkart.com/highlander-men-printed-casual-white-shirt/p/itmfdfd8fsgyftbd?pid=SHTFF5EZ2DFQB8SY&lid=LSTSHTFF5EZ2DFQB8SYVI60OH&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFF5EZ2DFQB8SY.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Solid Button Down Collar Formal Shirt,https://www.flipkart.com/vebnor-men-solid-formal-maroon-shirt/p/itm33fe017fa55a6?pid=SHTG6BKFUYFPCCP6&lid=LSTSHTG6BKFUYFPCCP6OD2RSR&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTG6BKFUYFPCCP6.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Solid Mandarin Collar Casual Shirt,https://www.flipkart.com/vebnor-men-solid-casual-black-shirt/p/itm73625f9878e20?pid=SHTFV8VBBJGU5KJP&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTFV8VBBJGU5KJP.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/voroxy-men-solid-casual-black-shirt/p/itmd0fc528d8375d?pid=SHTGBYE4GYKZ7DW8&lid=LSTSHTGBYE4GYKZ7DW8BWQK2B&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGBYE4GYKZ7DW8.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
Men Regular Fit Floral Print Spread Collar Casual Shirt,https://www.flipkart.com/combraided-men-floral-print-casual-pink-shirt/p/itm8137c99873e5f?pid=SHTGAC7Q9QZJHBQ8&lid=LSTSHTGAC7Q9QZJHBQ86FNYLM&marketplace=FLIPKART&q=shirts&store=clo%2Fash%2Faxc&spotlightTagId=TrendingId_clo%2Fash%2Faxc&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=9af312a9-2a3b-48d3-a265-6cb079432e97.SHTGAC7Q9QZJHBQ8.SEARCH&ppt=None&ppn=None&ssid=xo05m6l5tc0000001684598634269&qH=514ca2b2d46ccf67,Flipkart
